"binom","body.size","rel.wing","resid.wing","range.size","bio1_mean","range.elev","max.mean.elev","min.mean.elev","max.elev","min.elev","max.min.elev","min.max.elev","max.mean.elev.finer","min.mean.elev.finer","range.elev.finer","bio6_mean"
"Sympetrum_corruptum",40.5,0.914378315256834,0.320685120364056,5.6e+12,116.3270831,3014.090787551,3015.890381,1.799593449,4275,-121,2162,7,3417.22608,-56.17515432,3473.40123432,-60.34424392
"Sympetrum_costiferum",34,0.929327761615891,0.630927162344561,2.1e+12,50.54528817,2658.32201423,2667.869141,9.54712677,4175,-41,1998,46,2701.844136,2.204334365,2699.639801635,-146.1817544
"Sympetrum_danae",31.5,0.902471463403469,-0.364439660040879,2.06e+12,24.08726011,2979.88549023,2989.432617,9.54712677,5149,-19,2162,48,3313.42284,1.306122449,3312.116717551,-172.9382249
"Sympetrum_illotum",34,0.9346284485087,0.807597898978003,1e+12,134.7131133,2163.675226274,2171.444336,7.769109726,4072,-89,1751,19,2421.420525,2.454475309,2418.966049691,5.851662818
"Sympetrum_internum",33.5,0.91665504004976,0.188043170635175,2.64e+12,44.67274693,2987.584790877,2989.432617,1.847826123,4185,-41,2162,7,3077.62037,1.808510638,3075.811859362,-159.5948721
"Sympetrum_madidum",43.5,0.89705929394376,-0.194265873547783,9.28e+11,69.09248325,2947.7587965,2989.432617,41.6738205,4185,-89,2162,263,3077.62037,6.344135802,3071.276234198,-91.06631582
"Sympetrum_obtrusum",35,0.899679317532328,-0.344153835776353,3.2e+12,59.39949569,2985.537880233,2989.432617,3.894736767,4275,-41,2162,13,3077.62037,3.894736842,3073.725633158,-134.6585322
"Sympetrum_pallipes",36,0.914504650114692,0.194697237460539,1.51e+12,76.13382281,2823.8754955,2865.549316,41.6738205,4206,-89,2118,227,3021.148148,2.454475309,3018.693672691,-77.41068704
"Sympetrum_rubicundulum",33.5,0.938571612817148,0.921987085033856,1.44e+12,83.11028164,2657.989140886,2667.869141,9.880000114,4021,-78,1998,30,3132.320988,7.585912487,3124.735075513,-110.6316661
"Sympetrum_semicinctum",34,0.912803952516616,0.073653984579322,3.46e+12,75.30483717,3006.010380886,3015.890381,9.880000114,4275,-78,2162,30,3269.871914,3.536265432,3266.335648568,-112.8789659
